Company,BURMESE,VIETNAM,INDONESIAN,SRI LANKA,BANGLADESHI,THAI,CHINESE,MYANMAR,FILIPINO,MALAYSIAN,INDIAN
3J CONSTRUCTION PTE LTD,0,0,0,0,14,0,0,0,0,0,40
3SI PTE LTD,0,0,0,0,3,0,0,0,0,0,8
3TEL INTERNATIONAL PTE LTD,0,0,0,0,3,0,0,0,0,0,7
